Level,Hierarchical structure,Code,Parent,Class title,Superscript,Class definition
3,Class,12.0413,12.04,"Cosmetology, barber/styling and nail instructor",,"This instructional program class comprises any program that prepares cosmetologists, barbers, stylists, nail technicians, and other grooming specialists to teach their specializations in licensed and accredited schools of cosmetology and barbering, and to prepare for licensure as instructors. These programs include courses in cosmetology arts and sciences teaching principles; student learning styles; professional curricula development; instructional planning; instructional methods and aids; student counselling and career assistance; test development; and classroom/clinic management."
3,Class,12.0414,12.04,Master aesthetician/esthetician,,"This instructional program class comprises any program that prepares individuals to massage and treat the face, neck, and body with advanced chemical and cosmetic preparations and esthetic medical treatments, and to function as licensed master or medical estheticians in dermatologists' and plastic surgeons' offices as well as in salons and spas. These programs include courses in advanced anatomy and physiology, skin properties and disorders, sanitation and infection control, advanced facial treatments, spa body treatments, advanced extractions, corrective makeup, chemical peels, microdermabrasion, lymphatic drainage and advanced massage techniques, pre- and post-operative esthetic skin care, client/patient evaluation and care, applicable laws and regulations, and business practices."
3,Class,12.0499,12.04,"Cosmetology and related personal grooming services, other",,This instructional program class comprises any program not listed above that relates to Cosmetology and related personal grooming services.
2,Subseries,12.05,12.,Culinary arts and related services,,This subseries comprises instructional program classes 12.0500 to 12.0599.
3,Class,12.0500,12.05,"Cooking and related culinary arts, general",,"This instructional program class comprises any program that focuses on the general study of the cooking and related culinary arts, and that prepares individuals for a variety of jobs within the food service industry. These programs include courses in food preparation; cooking techniques; equipment operation and maintenance; sanitation and safety; communication skills; applicable regulations; and principles of food service management."
3,Class,12.0501,12.05,Baking and pastry arts/baker/pastry chef,,"This instructional program class comprises any program that prepares individuals to serve as professional bakers and pastry specialists in restaurants or other commercial baking establishments. These programs include courses in bread and pastry making, bread and pastry handling and storage, cake and pastry decorating, baking industry operations, product packaging and marketing operations, and counter display and service."
3,Class,12.0502,12.05,Bartending/bartender,,"This instructional program class comprises any program that prepares individuals to professionally prepare mixed alcoholic and non-alcoholic beverages and related products and manage bars, lounges, and beverage service operations in the hospitality industry. These programs include courses in mixology, oenology, accounting and cash management, inventory and cellar management, bar and lounge management, applicable laws and regulations, customer service, and labour/employment regulations."
3,Class,12.0503,12.05,Culinary arts/chef training,,"This instructional program class comprises any program that prepares individuals to provide professional chef and related cooking services in restaurants and other commercial food establishments. These programs include courses in recipe and menu planning, preparing and cooking of foods, supervising and training kitchen assistants, the management of food supplies and kitchen resources, aesthetics of food presentation, and familiarity with or mastery of a wide variety of cuisines and culinary techniques."
3,Class,12.0504,12.05,"Restaurant, culinary and catering management/manager",,"This instructional program class comprises any program that prepares individuals to plan, supervise, and manage food and beverage preparation and service operations, restaurant facilities, and catering services. These programs include courses in food/beverage industry operations, cost control, purchasing and storage, business administration, logistics, personnel management, culinary arts, restaurant and menu planning, executive chef functions, event planning and management, health and safety, insurance, and applicable laws and regulations."
3,Class,12.0505,12.05,Food preparation/professional cooking/kitchen assistant,,"This instructional program class comprises any program that prepares individuals to serve under the supervision of chefs and other food service professionals as kitchen support staff and commercial food preparation workers. These programs include courses in kitchen organization and operations, sanitation and quality control, basic food preparation and cooking skills, kitchen and kitchen equipment maintenance, and quantity food measurement and monitoring."
3,Class,12.0506,12.05,Meat cutting/meat cutter,,"This instructional program class comprises any program that prepares individuals to receive, cut, and package animal meat products in commercial establishments and to function as licensed meat cutters/butchers. These programs include courses in product recognition for beef, veal, lamb, pork, poultry, and fancy and smoked meats; retail and wholesale cutting and specialty cuts; packaging and counter display; shop safety; meat sanitation, storage and rotation; quality control; meat handling laws and regulations; and customer service."
3,Class,12.0507,12.05,"Food service, waiter/waitress and dining room management/manager",,"This instructional program class comprises any program that prepares individuals to serve food to customers in formal or informal settings. These programs include courses in the nutritional, sensory, and functional properties of food and its ingredients; food services principles; table and counter services; dining room operations and procedures; service personnel supervision and management; communication skills; business math; safety and sanitation."
3,Class,12.0508,12.05,Institutional food workers,,"This instructional program class comprises any program that prepares individuals in food production and service for governmental, commercial or independently owned institutional food establishments, and related food industry occupations. These programs include courses in selecting, storing, preparing, and serving food and food products; basic nutrition; sanitation, and food safety; the use and care of commercial equipment; serving techniques; and the operation of institutional food establishments."
3,Class,12.0509,12.05,Culinary science,,"This instructional program class comprises any program that focuses on the blending of food science and the culinary arts and that prepares individuals to work as research chefs and related research and development positions in the food industry. These programs include courses in culinary arts, food chemistry, food safety and quality, food processing, nutrition, and business management."
3,Class,12.0510,12.05,Wine steward/sommelier,,"This instructional program class comprises any program that prepares individuals to manage wine selection, purchasing, storage, sales, and service for a variety of establishments in the hospitality industry. These programs include courses in wine production, wine regions of the world, wine tasting, food and wine matching, service techniques, and wine program management."
3,Class,12.0580,12.05,Cannabis edibles,CAN,This instructional program class comprises any program that focuses on the general study of preparing cannabis edibles: cannabis-infused food and drink. These programs include courses in preparing food and beverages with cannabis; baking with cannabis; creating candies and confections with cannabis; sanitation; health and safety procedures; and applicable laws and government regulatory and licensing requirements.
3,Class,12.0599,12.05,"Culinary arts and related services, other",,This instructional program class comprises any program not listed above that relates to Culinary arts and related services.
2,Subseries,12.06,12.,Casino operations and services,,This subseries comprises instructional program classes 12.0601 to 12.0699.
3,Class,12.0601,12.06,"Casino operations and services, general",,"This instructional program class comprises any program that focuses on casino operations and services. These programs include courses in casino operations, casino security and surveillance, casino dealing, principles of the gaming industry, ethics, and gaming law."
3,Class,12.0602,12.06,Casino dealing,,"This instructional program class comprises any program that prepares individuals to apply technical skills and knowledge to become table games dealers in casinos or other recreational settings. These programs include courses in dealing techniques for Baccarat, Blackjack, Carnival Games, Craps, Poker, and Roulette."
3,Class,12.0699,12.06,"Casino operations and services, other",,This instructional program class comprises any program not listed above that relates to Casino operations and services.
2,Subseries,12.99,12.,"Culinary, entertainment, and personal services, other",,This subseries comprises instructional program class 12.9999.
3,Class,12.9999,12.99,"Culinary, entertainment, and personal services, other",,"This instructional program class comprises any program not listed above that relates to Culinary, entertainment, and personal services."
1,Series,13.,,Education,,"This series comprises instructional programs that focus on the theory and practice of learning and teaching, and related research, administrative and support services."
2,Subseries,13.01,13.,"Education, general",,This subseries comprises instructional program class 13.0101.
3,Class,13.0101,13.01,"Education, general",,This instructional program class comprises any program that focuses on the general theory and practice of learning and teaching; the basic principles of educational psychology; the art of teaching; the planning and administration of educational activities; school safety and health issues; and the social foundations of education.
2,Subseries,13.02,13.,"Bilingual, multilingual and multicultural education",,This subseries comprises instructional program classes 13.0201 to 13.0299.
3,Class,13.0201,13.02,Bilingual and multilingual education,,"This instructional program class comprises any program that focuses on the design and provision of teaching and other educational services to bilingual/bicultural children or adults, and/or the design and implementation of educational programs having the goal of producing bilingual/bicultural individuals. Includes preparation to serve as teachers and administrators in bilingual/bicultural education programs."
3,Class,13.0202,13.02,Multicultural education,,"This instructional program class comprises any program that focuses on the design, and implementation of instructional and advising services for culturally diverse learning populations. These programs include courses in cultural diversity, at risk populations, multilingual and ESL education, program and curriculum design, instructional technology, information resources, Language Instruction for Newcomers to Canada (LINC), and minority education strategies, counselling and communicating with multicultural populations, laws and regulations, and applications to specific cultural groups, educational services, and research issues."
3,Class,13.0203,13.02,Indigenous education,,"This instructional program class comprises any program that focuses on the design and implementation of instructional and advising services for First Nations, Inuit and Métis students at various learning levels and that prepares individuals to perform teaching and administrative functions. These programs include courses in the cultural traditions and social patterns, history and politics, learning styles and issues, curriculum design and minority education strategies, counselling techniques and social issues, rural education services, distance education, adult education techniques, school administration, applicable laws and regulations, and research issues."
3,Class,13.0299,13.02,"Bilingual, multilingual and multicultural education, other",,"This instructional program class comprises any program not listed above that relates to Bilingual, multilingual and multicultural education."
2,Subseries,13.03,13.,Curriculum and instruction,,This subseries comprises instructional program class 13.0301.
3,Class,13.0301,13.03,Curriculum and instruction,,"This instructional program class comprises any program that focuses on the curriculum and related instructional processes and tools, and that prepares individuals to serve as professional curriculum specialists. These programs include courses in curriculum theory, curriculum design and planning, instructional material design and evaluation, curriculum evaluation, and applications to specific subject matter, programs or educational levels."
2,Subseries,13.04,13.,Educational administration and supervision,,This subseries comprises instructional program classes 13.0401 to 13.0499.
3,Class,13.0401,13.04,"Educational leadership and administration, general",,"This instructional program class comprises any program that focuses on the general principles and techniques of administering a wide variety of schools and other educational organizations and facilities, supervising educational personnel at the school or staff level, and that prepares individuals as general administrators and supervisors."
3,Class,13.0402,13.04,Administration of special education,,"This instructional program class comprises any program that prepares individuals to plan, supervise, and manage programs for exceptional students and their parents. These programs include courses in special education theory and practice, special education program development, evaluation and assessment in special education, applicable laws and regulations, managing individual education plans, problems of low- and high- disability students, mainstreaming, special education curricula, staff management, parent education, communications and community relations, budgeting, and professional standards and ethics."
3,Class,13.0403,13.04,Adult and continuing education administration,,"This instructional program class comprises any program that focuses on the principles and techniques of administering programs and facilities designed to serve the basic education needs of undereducated adults, or the continuing education needs of adults seeking further or specialized instruction, and that prepares individuals to serve as administrators of such programs. These programs include courses in adult education principles, program and facilities planning, personnel management, community and client relations, budgeting and administration, professional standards, and applicable laws and policies."
3,Class,13.0404,13.04,"Educational, instructional and curriculum supervision",,"This instructional program class comprises any program that prepares individuals to supervise instructional and support personnel at the school building, facility or staff level. These programs include courses in the principles of staffing and organization, the supervision of learning activities, personnel relations, administrative duties related to departmental or unit management, and specific applications to various educational settings and curricula."
3,Class,13.0406,13.04,Higher education/higher education administration,,"This instructional program class comprises any program that focuses on the principles and practice of administration in universities and higher education systems, the study of higher education as an object of applied research, and which prepares individuals to function as administrators in such settings. These programs include courses in higher education economics and finance; policy and planning studies; curriculum; faculty and labour relations; higher education law; college student services; research on higher education; institutional research; marketing and promotion; and issues of evaluation, accountability and philosophy."
3,Class,13.0407,13.04,Community college and general and vocational college (CEGEP) administration,,"This instructional program class comprises any program that focuses on the principles and techniques of administering community colleges and other college level institutions and related postsecondary systems, the study of community colleges as objects of applied research, and that prepares individuals to function as administrators in such settings. These programs include courses in community college finance; policy and planning studies; curriculum; faculty and labour relations; higher education law; student services; research on community colleges; institutional research; marketing and promotion; and issues of evaluation, accountability and philosophy."
3,Class,13.0408,13.04,Elementary and middle school administration/principalship,,"This instructional program class comprises any program that focuses on educational administration at the elementary and middle school levels, and prepares individuals to serve as principals and headmasters of elementary and middle schools. These programs include courses in elementary and/or middle school education, program and facilities planning, budgeting and administration, public relations, human resources management, childhood and pre-adolescent growth and development, counselling skills, applicable laws and regulations, school safety, policy studies, and professional standards and ethics."
3,Class,13.0409,13.04,Secondary school administration/principalship,,"This instructional program class comprises any program that focuses on educational administration at the junior high, secondary, or senior high school levels, and prepares individuals to serve as principals and headmasters of secondary schools. These programs include courses in secondary school education, program and facilities planning, budgeting and administration, public relations, human resources management, adolescent growth and development, counselling skills, applicable laws and regulations, school safety, policy studies, and professional standards and ethics."
3,Class,13.0410,13.04,Urban education and leadership,,"This instructional program class comprises any program that focuses on issues and problems specific to the educational needs of populations and communities located in metropolitan and related areas and prepares individuals to provide educational services and administrative leadership in urban contexts. These programs include courses in multicultural education, at-risk studies, urban sociology, multilingual education, urban studies and planning, human services, health services and nutrition, cross-cultural communication, diversity studies, safety and security, and urban educational administration and leadership."
3,Class,13.0411,13.04,Superintendency and educational system administration,,"This instructional program class comprises any program that focuses on leading and managing multi-school educational systems and school districts, and prepares individuals to serve as systems administrators and district superintendents. These programs include courses in educational administration; education of students at various levels; system planning and budgeting; educational policy; educational laws and regulations; public relations; professional standards and ethics; and applications to specific issues, cultural context, and geographic locales."
3,Class,13.0412,13.04,International school administration/leadership,,"This instructional program class comprises any program that focuses on the principles and practice of administration in international schools, the study of international education as an object of applied research, and which may prepare individuals to function as administrators in such settings. These programs include courses in culture in the classroom, educational leadership, globalization, instructional design and technology, international research methods, evaluation, and education policy"
3,Class,13.0413,13.04,Education entrepreneurship,,"This instructional program class comprises any program that prepares individuals to create, fund, and manage innovations in education. These programs include courses in philanthropy, business modelling, the design of learning environments, the economics of education, entrepreneurship, evaluation, finance, human-centered design, investing, resource management, project management, and marketing."
3,Class,13.0414,13.04,Early childhood program administration,,"This instructional program class comprises any program that focuses on early childhood educational program administration and prepares individuals to serve as a principal or director of an early childhood educational program. These programs include courses in early childhood education, program and facilities planning, budgeting and administration, public relations, human resources management, early childhood growth and development, counselling skills, applicable law and regulations, school safety, policy studies, and professional standards and ethics."
3,Class,13.0499,13.04,"Educational administration and supervision, other",,This instructional program class comprises any program not listed above that relates to Educational administration and supervision.
2,Subseries,13.05,13.,Educational/instructional media design,,This subseries comprises instructional program class 13.0501.
3,Class,13.0501,13.05,Educational/instructional technology,,"This instructional program class comprises any program that focuses on integrating technology into educational curricula. These programs include courses in foundations of educational technology, computer applications, utilizing technology for assessment, multimedia instruction, web-based instruction, distance education, and designing and producing educational software and materials."
2,Subseries,13.06,13.,"Educational assessment, evaluation and research",,This subseries comprises instructional program classes 13.0601 to 13.0699.
3,Class,13.0601,13.06,Educational evaluation and research,,"This instructional program class comprises any program that focuses on the principles and procedures for generating information about educational programs, personnel and methods, and the analysis of such information for planning purposes. These programs include courses in evaluation theory, evaluation research design and planning, administering evaluations and related data collection activities, data reporting requirements, data analysis and interpretation, and related economic and policy issues."
3,Class,13.0603,13.06,Educational statistics and research methods,,"This instructional program class comprises any program that focuses on the application of statistics to the analysis and solution of educational research problems, and the development of technical designs for research studies. These programs include courses in mathematical statistics, research design, computer applications, instrument design, research methodologies, and applications to research problems in specific education subjects."
3,Class,13.0604,13.06,"Educational assessment, testing and measurement",,"This instructional program class comprises any program that focuses on the principles and procedures for designing, developing, implementing and evaluating tests and other mechanisms used to measure learning, evaluate student progress, and assess the performance of specific teaching tools, strategies and curricula. These programs include courses in psychometric measurement, instrument design, test implementation techniques, research evaluation, data reporting requirements, and data analysis and interpretation."
3,Class,13.0607,13.06,Learning sciences,,"This instructional program class comprises any program that focuses on the multiple aspects of learning in different environments, including specific aspects of the content to be mastered, cognitive aspects of the student, the instructional environment and materials, the preparation and activities of the instructor, socio-cultural and linguistic components, and assessment outcomes. These programs include courses in the social, organizational, and cultural dynamics of learning; learning and cognition; learning strategies; educational psychology; educational testing and measurement; instructional design and technology; and statistical design of educational research."
3,Class,13.0608,13.06,Institutional research,,"This instructional program class comprises any program that prepares individuals to become institutional researchers at postsecondary educational institutions. These programs include courses in data analysis, data-driven decision-making, data mining, higher education administration and organization, research methods, and statistics."
3,Class,13.0699,13.06,"Educational assessment, evaluation and research, other",,"This instructional program class comprises any program not listed above that relates to Educational assessment, evaluation and research."
2,Subseries,13.07,13.,International and comparative education,,This subseries comprises instructional program class 13.0701.
3,Class,13.0701,13.07,International and comparative education,,"This instructional program class comprises any program that focuses on the educational phenomena, practices and institutions within different societies and states in comparative perspective, and the study of international educational issues. These programs include courses in comparative research methods, country- or area-specific studies, cross-national studies of learning and teaching styles, international educational policy and development, and analyses of educational migration patterns and experiences."
2,Subseries,13.09,13.,Social and philosophical foundations of education,,This subseries comprises instructional program class 13.0901.
3,Class,13.0901,13.09,Social and philosophical foundations of education,,"This instructional program class comprises any program that focuses on the systematic study of education as a social and cultural institution, and the educational process as an object of humanistic inquiry. These programs include courses in such subjects as the philosophy of education, history of education, educational literature, educational anthropology, sociology of education, economics and politics of education, educational policy studies, and studies of education in relation to specific populations, issues, social phenomena, and types of work."
2,Subseries,13.10,13.,Special education and teaching,,This subseries comprises instructional program classes 13.1001 to 13.1099.
3,Class,13.1001,13.10,"Special education and teaching, general",,"This instructional program class comprises any general program that focuses on the design and provision of teaching and other educational services to children or adults with special learning needs or disabilities, and that prepares individuals to function as special education teachers in a collaborative or team environment. These programs include courses in diagnosing learning disabilities, developing individual education plans, teaching and supervising special education students, special education counselling, and applicable laws and policies."
3,Class,13.1003,13.10,Education/teaching of individuals with hearing impairments including deafness,,"This instructional program class comprises any program that focuses on the design of educational services for children or adults with hearing impairments including deafness which adversely affect their educational performance, and that prepares individuals to teach such students. These programs include courses in identifying students with hearing impairments, including deafness, developing individual education plans, teaching and supervising hearing-impaired students, counselling, and applicable laws and policies."
3,Class,13.1004,13.10,Education/teaching of the gifted and talented,,"This instructional program class comprises any program that focuses on the design of educational services for children or adults exhibiting exceptional intellectual, psychomotor or artistic talent or potential, or who exhibit exceptional maturity or social leadership talents, and that prepares individuals to teach such students. These programs include courses in identifying gifted and talented students, developing individual education plans, teaching and supervising gifted and talented students, counselling, and applicable laws and policies."
3,Class,13.1005,13.10,Education/teaching of individuals with emotional disturbances,,"This instructional program class comprises any program that focuses on the design of educational services for children or adults with emotional conditions which adversely affect their educational performance and that prepares individuals to teach such students. These programs include courses in identifying students with emotional disturbances, developing individual education plans, teaching and supervising individuals with emotional disturbances, counselling, and applicable laws and policies."
3,Class,13.1006,13.10,Education/teaching of individuals with intellectual disabilities,,"This instructional program class comprises any program that focuses on the design of educational services for children or adults with intellectual disabilities which adversely affect their educational performance and that prepares individuals to teach such students. These programs include courses in identifying students with intellectual disabilities, developing individual education plans, teaching and supervising mentally handicapped students, counselling, and applicable laws and policies."
3,Class,13.1007,13.10,Education/teaching of individuals with multiple disabilities,,"This instructional program class comprises any program that focuses on the design of educational services for children or adults with multiple disabilities which adversely affect their educational performance and that prepares individuals to teach such students. These programs include courses in identifying students with multiple disabilities, developing individual education plans, teaching and supervising multiple handicapped students, counselling, and applicable laws and policies."
3,Class,13.1008,13.10,Education/teaching of individuals with orthopedic and other physical health impairments,,"This instructional program class comprises any program that focuses on the design of educational services for children or adults with orthopedic and other health impairments which adversely affect their educational performance and that prepares individuals to teach such students. These programs include courses in identifying physically disabled students, developing individual education plans, teaching and supervising students with orthopedic and other health impairments, counselling, and applicable laws and policies."
3,Class,13.1009,13.10,Education/teaching of individuals with vision impairments including blindness,,"This instructional program class comprises any program that focuses on the design of educational services for children or adults with visual disabilities which adversely affect their educational performance and that prepares individuals to teach such students. These programs include courses in identifying students with visual impairments, developing individual education plans, teaching and supervising blind or visually handicapped students, counselling, and applicable laws and policies."
3,Class,13.1011,13.10,Education/teaching of individuals with specific learning disabilities,,"This instructional program class comprises any program that focuses on the design of educational services for children or adults with specific learning disabilities which adversely affect their educational performance and that prepares individuals to teach such students. These programs include courses in identifying students with specific learning disabilities, developing individual education plans, teaching and supervising students with specific learning disabilities, counselling, and applicable laws and policies."
3,Class,13.1012,13.10,Education/teaching of individuals with speech or language impairments,,"This instructional program class comprises any program that focuses on the study and design of educational services for children or adults with speech and language impairments which adversely affect their educational performance and that prepares individuals to teach such students. These programs include courses in identifying students with speech and language impairments, developing individual education plans, teaching and supervising students with speech disabilities, counselling, and applicable laws and policies."
3,Class,13.1013,13.10,Education/teaching of individuals with autism,,"This instructional program class comprises any program that focuses on the design of educational services for children or adults with autism, and that prepares individuals to teach such students. These programs include courses in identifying students with autism, developing individual education plans, teaching and supervising autistic students, counselling, and applicable laws and policies."
3,Class,13.1014,13.10,Education/teaching of individuals who are developmentally delayed,,"This instructional program class comprises any program that focuses on the design of educational services for children or adults who exhibit slow social, physical, cognitive, and/or emotional growth patterns that affect learning, and that prepares individuals to teach such students. These programs include courses in identification of developmental delay patterns, developing individual education plans, teaching and supervising developmentally delayed students, counselling, and applicable laws and policies."
3,Class,13.1015,13.10,Education/teaching of individuals in early childhood special education programs,,"This instructional program class comprises any program that focuses on the design and provision of teaching and other educational services to infant and preschool age children with special learning needs or disabilities, and that prepares individuals to teach such students. These programs include courses in diagnosing learning disabilities, developing individual education plans, teaching and supervising special education students, special education counselling, and applicable laws and policies."
3,Class,13.1016,13.10,Education/teaching of individuals with traumatic brain injuries,,"This instructional program class comprises any program that focuses on the design of educational services for children or adults who are surviving and recovering from brain and brain stem injuries affecting their cognitive, perceptive, and motor functions, and that prepares individuals to teach such students. These programs include courses in neurophysiology and neuropathology; speech, other sensory, and motor pathologies; emotional and cognitive disabilities; physical and occupational rehabilitation techniques; developing individual education plans, teaching and supervising brain-injured students, counselling, and applicable laws and policies."
3,Class,13.1017,13.10,Education/teaching of individuals in elementary special education programs,,"This instructional program class comprises any program that focuses on the design and provision of teaching and other educational services to children with special learning needs or disabilities who are in the elementary grades. These programs include courses in diagnosing learning disabilities; developing individual education plans; curriculum development, instructional strategies, and classroom management for elementary special education; and teaching elementary education subject matter."
3,Class,13.1018,13.10,Education/teaching of individuals in junior high/middle school special education programs,,"This instructional program class comprises any program that focuses on the design and provision of teaching and other educational services to children with special learning needs or disabilities who are in junior high/middle school. These programs include courses in diagnosing learning disabilities; developing individual education plans; curriculum development, instructional strategies, and classroom management for middle school special education; and principles of middle school instruction in specific subjects."
3,Class,13.1019,13.10,Education/teaching of individuals in secondary special education programs,,"This instructional program class comprises any program that focuses on the design and provision of teaching and other educational services to children with special learning needs or disabilities who are in the secondary grades. These programs include courses in diagnosing learning disabilities; developing individual education plans; curriculum development, instructional strategies, and classroom management for secondary grades special education; content, methods, and modifications in specific subject areas; issues in vocational education; and promoting successful transitions to postsecondary settings."
3,Class,13.1099,13.10,"Special education and teaching, other",,This instructional program class comprises any program not listed above that relates to Special education and teaching.
2,Subseries,13.11,13.,Student counselling and personnel services,,This subseries comprises instructional program classes 13.1101 to 13.1199.
3,Class,13.1101,13.11,Counsellor education/school counselling and guidance services,,"This instructional program class comprises any program that prepares individuals to apply the theory and principles of guidance and counselling to the provision of support for the personal, social, educational, and vocational development of students, and the organizing of guidance services within elementary, middle and secondary educational institutions. These programs include courses in legal and professional requirements, therapeutic counsellor intervention, vocational counselling, and related sociological and psychological foundations."
3,Class,13.1102,13.11,College student counselling and personnel services,,"This instructional program class comprises any program that focuses on the organization and provision of counselling, referral, assistance and administrative services to students in postsecondary educational institutions and adult education facilities, and that prepares individuals to function as professional counsellors in such settings. These programs include courses in applicable laws and policies, residential counselling and services, vocational counselling and placement services, remedial skills counselling, and therapeutic counsellor intervention."
3,Class,13.1199,13.11,"Student counselling and personnel services, other",,This instructional program class comprises any program not listed above that relates to Student counselling and personnel services.
2,Subseries,13.12,13.,"Teacher education and professional development, specific levels and methods",,This subseries comprises instructional program classes 13.1201 to 13.1299.
3,Class,13.1201,13.12,Adult and continuing education and teaching,,"This instructional program class comprises any program that prepares individuals to teach adult students in various settings, including basic and remedial education programs, continuing education programs, and programs designed to develop or upgrade specific employment-related knowledge and skills."
3,Class,13.1202,13.12,Elementary education and teaching,,"This instructional program class comprises any program that prepares individuals to teach students in the elementary grades, which may include kindergarten through grade eight, depending on the school system and applicable regulations. Includes preparation to teach all elementary education subject matter."
3,Class,13.1203,13.12,Junior high/intermediate/middle school education and teaching,,"This instructional program class comprises any program that prepares individuals to teach students in the middle, intermediate or junior high grades, which may include grades four through ten, depending on applicable regulations."
3,Class,13.1205,13.12,Secondary education and teaching,,"This instructional program class comprises any program that prepares individuals to teach students in the secondary grades, which may include grades seven through twelve, depending on the school system and applicable regulations. May include preparation to teach a comprehensive curriculum or specific subject matter."
3,Class,13.1206,13.12,"Teacher education, multiple levels",,"This instructional program class comprises any program that prepares individuals to teach students at more than one educational level, such as a combined program in elementary/secondary, early childhood/elementary, elementary/middle school, or junior high/high school teacher education."
3,Class,13.1207,13.12,Montessori teacher education,,This instructional program class comprises any program that prepares individuals to teach students at various grade levels according to the pedagogical principles and methods developed by Maria Montessori and her followers.
3,Class,13.1208,13.12,Waldorf/Steiner teacher education,,This instructional program class comprises any program that prepares individuals to teach students at various grade levels according to the pedagogical principles and methods developed by Rudolf Steiner and his followers.
3,Class,13.1209,13.12,Kindergarten/preschool education and teaching,,"This instructional program class comprises any program that prepares individuals to teach children, in formal settings, prior to beginning regular elementary school. Depending on the school system and applicable regulations, students may range in age from three to six years. Includes preparation to teach all relevant subject matter."
3,Class,13.1210,13.12,Early childhood education and teaching,,"This instructional program class comprises any program that prepares individuals to teach students that can range in age from infancy through eight years, depending on the school system and applicable regulations. Includes preparation to teach all relevant subject matter."
3,Class,13.1211,13.12,Online educator/online teaching,,"This instructional program class comprises any program that prepares individuals to teach students at various academic levels through online instructional technologies. These programs include courses in andragogy, pedagogy, assessment, instructional design and technology, and learning science."
3,Class,13.1212,13.12,International Baccalaureate teaching and learning,,"This instructional program class comprises any program that prepares individuals to teach in schools that are implementing or proposing to implement the International Baccalaureate curriculum. These programs include courses in culturally responsive classrooms, cross-cultural awareness, foundations of international education, human learning, human development, international teaching and learning, and pedagogy."
3,Class,13.1213,13.12,"Science, technology, engineering, and mathematics (STEM) educational methods",,"This instructional program class comprises any program that prepares individuals to connect education practices with scientific, engineering, and mathematical principles for PreK-12 students. These programs include courses in critical thinking, curriculum and instruction, history of STEM education, integrating STEM across curricula, learning sciences and technology, STEM education methods, and teacher leadership in STEM education."
3,Class,13.1214,13.12,Postsecondary/college/university teaching,,"This instructional program class comprises any program that prepares individuals to teach at a postsecondary institution. These programs include courses in andragogy, assessment, classroom motivation, instructional design and technology, learner-centered teaching, learning science, syllabus construction, and teaching critical thinking."
3,Class,13.1299,13.12,"Teacher education and professional development, specific levels and methods, other",,"This instructional program class comprises any program not listed above that relates to Teacher education and professional development, specific levels and methods."
2,Subseries,13.13,13.,"Teacher education and professional development, specific subject areas",,This subseries comprises instructional program classes 13.1301 to 13.1399.
3,Class,13.1301,13.13,Agricultural teacher education,,This instructional program class comprises any program that prepares individuals to teach vocational agricultural programs at various educational levels.
3,Class,13.1302,13.13,Art teacher education,,This instructional program class comprises any program that prepares individuals to teach art and art appreciation programs at various educational levels.
